coauthor,coauthorProfile
Alexander Thompson,http://www.wikidata.org/entity/Q58206616
Willi Egloff,http://www.wikidata.org/entity/Q20650435
Daniel Kissling,http://www.wikidata.org/entity/Q25442579
Alex Hardisty,http://www.wikidata.org/entity/Q28913583
Donald Hobern,http://www.wikidata.org/entity/Q28913648
Hannu Saarenmaa,http://www.wikidata.org/entity/Q28913655
Wouter Los,http://www.wikidata.org/entity/Q28913660
Lee Belbin,http://www.wikidata.org/entity/Q28913664
Rui Figueira,http://www.wikidata.org/entity/Q30506820
Dmitry Sergeevich Schigel,http://www.wikidata.org/entity/Q41566748
Pier Luigi Buttigieg,http://www.wikidata.org/entity/Q41566750
Robert Guralnick,http://www.wikidata.org/entity/Q55829951
Dimitrios Koureas,http://www.wikidata.org/entity/Q56219558
William K. Michener,http://www.wikidata.org/entity/Q56757978
Anne Bowser,http://www.wikidata.org/entity/Q63830777
Dora Canhos,http://www.wikidata.org/entity/Q108665571
Renato De Giovanni,http://www.wikidata.org/entity/Q111976119
Enrique Alonso García,http://www.wikidata.org/entity/Q114768920
Daniel Pauly,http://www.wikidata.org/entity/Q581515
Christopher J. Mungall,http://www.wikidata.org/entity/Q20746118
Cristiane Bastos-Silveira,http://www.wikidata.org/entity/Q25443683
Marcus Guidoti,http://www.wikidata.org/entity/Q26258171
Maarten P. M. Vanhove,http://www.wikidata.org/entity/Q58423083
Beckett Sterner,http://www.wikidata.org/entity/Q59153258
Teodor Georgiev,http://www.wikidata.org/entity/Q28324761
Jennifer M. Zaspel,http://www.wikidata.org/entity/Q21393640
Michael S. Engel,http://www.wikidata.org/entity/Q2348034
István Mikó,http://www.wikidata.org/entity/Q21073948
Erika M. Tucker,http://www.wikidata.org/entity/Q21389938
Crystal A. Maier,http://www.wikidata.org/entity/Q21502839
Brian V. Brown,http://www.wikidata.org/entity/Q22111654
Elijah J. Talamas,http://www.wikidata.org/entity/Q23011588
Edward E Gilbert,http://www.wikidata.org/entity/Q92343042
Gábor Csorba,http://www.wikidata.org/entity/Q21339173
Antonio M Saraiva,http://www.wikidata.org/entity/Q56427148
Jose Augusto Salim,http://www.wikidata.org/entity/Q104618691
Tim Adriaens,http://www.wikidata.org/entity/Q56296490
Maarten Trekels,http://www.wikidata.org/entity/Q73478137
Helge Bruelheide,http://www.wikidata.org/entity/Q1602359
Renske E. Onstein,http://www.wikidata.org/entity/Q57615376
Stefanie Dekeyzer,http://www.wikidata.org/entity/Q85683771
Sara D. Leonhardt,http://www.wikidata.org/entity/Q87684259
Anikó B. Tóth,http://www.wikidata.org/entity/Q90658052
Mohammad Bagher Erfanian,http://www.wikidata.org/entity/Q92348435
Margot Neyret,http://www.wikidata.org/entity/Q113675271
Jennifer A Hammock,http://www.wikidata.org/entity/Q41566708
Quentin J. Groom,http://www.wikidata.org/entity/Q28913658
Donat Agosti,http://www.wikidata.org/entity/Q20650434
DeeAnn M. Reeder,http://www.wikidata.org/entity/Q25439894
Nancy B. Simmons,http://www.wikidata.org/entity/Q27869312
Nathan S. Upham,http://www.wikidata.org/entity/Q29158418
Katja Seltmann,http://www.wikidata.org/entity/Q6069153
Anne Thessen,http://www.wikidata.org/entity/Q47503085
Matthew J Collins,http://www.wikidata.org/entity/Q107282886
Alexander Keller,http://www.wikidata.org/entity/Q21517397
Markus Ankenbrand,http://www.wikidata.org/entity/Q29076435
Roberto Salguero-Gómez,http://www.wikidata.org/entity/Q42407986
Brian J. Enquist,http://www.wikidata.org/entity/Q47172478
Joshua S Madin,http://www.wikidata.org/entity/Q51171519
Caterina Penone,http://www.wikidata.org/entity/Q56433897
Jens Kattge,http://www.wikidata.org/entity/Q56556463
Florian Dirk Schneider,http://www.wikidata.org/entity/Q56576262
Daniel Falster,http://www.wikidata.org/entity/Q56755459
William D. Pearse,http://www.wikidata.org/entity/Q57179980
Rachael V. Gallagher,http://www.wikidata.org/entity/Q62558788
Brian S. Maitner,http://www.wikidata.org/entity/Q89748248
Sandro Bertolino,http://www.wikidata.org/entity/Q107256582
Lyubomir Penev,http://www.wikidata.org/entity/Q21781591
Jose Fortes,http://www.wikidata.org/entity/Q114832818
Chris T. Evelo,http://www.wikidata.org/entity/Q19845641
Christine Chichester,http://www.wikidata.org/entity/Q19845665
Egon Willighagen,http://www.wikidata.org/entity/Q20895241
Friederike Ehrhart,http://www.wikidata.org/entity/Q28025534
Michel Dumontier,http://www.wikidata.org/entity/Q28194921
Núria Queralt Rosinach,http://www.wikidata.org/entity/Q29644228
Laura I. Furlong,http://www.wikidata.org/entity/Q30347594
Allen H. Hurlbert,http://www.wikidata.org/entity/Q39502203
Tobias Kuhn,http://www.wikidata.org/entity/Q42027946
Juan M. Banda,http://www.wikidata.org/entity/Q48975677
Alexander Malic,http://www.wikidata.org/entity/Q59477733
Tareq Malas,http://www.wikidata.org/entity/Q102925603
John Alroy,http://www.wikidata.org/entity/Q6218862
Hervé Sauquet,http://www.wikidata.org/entity/Q19001730
Ian G. Brennan,http://www.wikidata.org/entity/Q22104523
Maurizio Rossetto,http://www.wikidata.org/entity/Q26714687
Renee A. Catullo,http://www.wikidata.org/entity/Q27720517
Ian J. Wright,http://www.wikidata.org/entity/Q36585112
Vigdis Vandvik,http://www.wikidata.org/entity/Q42561055
Steven L. Chown,http://www.wikidata.org/entity/Q42666979
Mark Westoby,http://www.wikidata.org/entity/Q43121038
Michael Ray Kearney,http://www.wikidata.org/entity/Q46983883
Paula M. Mabee,http://www.wikidata.org/entity/Q47297444
Samuel C. Andrew,http://www.wikidata.org/entity/Q50669412
Heloise Gibb,http://www.wikidata.org/entity/Q53913686
Richard J Telford,http://www.wikidata.org/entity/Q55100101
Vanessa M. Adams,http://www.wikidata.org/entity/Q56332709
Daniel S. Park,http://www.wikidata.org/entity/Q56433461
Dalia A. Conde,http://www.wikidata.org/entity/Q56441522
Joseph A Tobias,http://www.wikidata.org/entity/Q56441617
Ben Sparrow,http://www.wikidata.org/entity/Q56457776
Pete Manning,http://www.wikidata.org/entity/Q56559680
Colleen M. Iversen,http://www.wikidata.org/entity/Q56755531
Malte Jochum,http://www.wikidata.org/entity/Q57010307
J. Aaron Hogan,http://www.wikidata.org/entity/Q57296572
Xiao Feng,http://www.wikidata.org/entity/Q58210191
Sean T. Michaletz,http://www.wikidata.org/entity/Q58643826
Meghan Balk,http://www.wikidata.org/entity/Q59763318
Silvia Pineda-Munoz,http://www.wikidata.org/entity/Q61361706
Ramona L Walls,http://www.wikidata.org/entity/Q63240627
Alexandra J. R. Carthey,http://www.wikidata.org/entity/Q83487382
Lucie M Bland,http://www.wikidata.org/entity/Q88025034
Katherine C B Weiss,http://www.wikidata.org/entity/Q88797887
Belén Fadrique,http://www.wikidata.org/entity/Q88822144
Cyrille Violle,http://www.wikidata.org/entity/Q89735684
Catherine H Bravo-Avila,http://www.wikidata.org/entity/Q89748252
Hamish Holewa,http://www.wikidata.org/entity/Q89748255
Marko J. Spasojevic,http://www.wikidata.org/entity/Q89766675
Brad Boyle,http://www.wikidata.org/entity/Q90744779
Courtenay A Ray,http://www.wikidata.org/entity/Q92348703
Timothy M. Perez,http://www.wikidata.org/entity/Q93220897
Aud H. Halbritter,http://www.wikidata.org/entity/Q96096151
Brittany R Cavazos,http://www.wikidata.org/entity/Q98458627
Luke McCormack,http://www.wikidata.org/entity/Q108476851
Michael Hope,http://www.wikidata.org/entity/Q113106751
David Mark Richardson,http://www.wikidata.org/entity/Q11256815
Kendra Phelps,http://www.wikidata.org/entity/Q59198993
Nico M. Franz,http://www.wikidata.org/entity/Q21338947
Deborah L. Paul,http://www.wikidata.org/entity/Q63226067
Mariya Dimitrova,http://www.wikidata.org/entity/Q64884230
Michael J. Elliott,http://www.wikidata.org/entity/Q114833372
Thure E. Cerling,http://www.wikidata.org/entity/Q7799267
Bruce J. MacFadden,http://www.wikidata.org/entity/Q25525914
Christopher Harrod,http://www.wikidata.org/entity/Q51710706
Michelle T Dohm,http://www.wikidata.org/entity/Q56452700
Shawn A Steffan,http://www.wikidata.org/entity/Q56460505
Laura Russell,http://www.wikidata.org/entity/Q56755537
Gabriel J. Bowen,http://www.wikidata.org/entity/Q57003077
Craig A. Stricker,http://www.wikidata.org/entity/Q57045468
Suzanne E Pilaar Birch,http://www.wikidata.org/entity/Q57554609
Mark D Uhen,http://www.wikidata.org/entity/Q59692896
Keith A Hobson,http://www.wikidata.org/entity/Q87724238
Seth D Newsome,http://www.wikidata.org/entity/Q91791632
Jonathan N. Pauli,http://www.wikidata.org/entity/Q111165624
Albert Meroño-Peñuela,http://www.wikidata.org/entity/Q57553187
Nicky Nicolson,http://www.wikidata.org/entity/Q28913663
